GLM,contrast,timelock,region,peak,subplot
GLM_04.2a,contr1,offer-timelocked,DRN,0.12994580444682,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.00957037935306364,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0359278493323242,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0712521920648263,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0705435956533345,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.290867173501329,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0557146474423247,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0150085793160537,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.295451709471305,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.466450571586544,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0835404126600722,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0508860173241551,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.104104721738262,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.283813184128727,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.276875053840222,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0293960845538821,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0824085849113954,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0110923150918667,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0926752157455587,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0371045004870935,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0877481794645878,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.217713160233995,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.177297220027057,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0565028181849779,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.52363857291599,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252800873961374,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.136463530711927,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0678923576395822,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.067971878908299,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0.186553487349164,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.104319152310982,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.13627192715541,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0439626934318497,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.124186873475327,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.182863960457359,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.036401374596447,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0235815870257316,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0.019303266793621002,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.248682947906149,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252423996254893,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0.00821458819399628,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.156237481435722,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.184281937557273,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.287666628054812,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0.187180805807069,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,0.0101520937581343,(i)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.138788347468845,(i)
GLM_04.2a,contr1,offer-timelocked,DRN,0.12994580444682,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.00957037935306364,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0359278493323242,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0712521920648263,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0705435956533345,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.290867173501329,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0557146474423247,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0150085793160537,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.295451709471305,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.466450571586544,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0835404126600722,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0508860173241551,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.104104721738262,(ii)
